"Metric","Technology","Scenario","Optimal Value","Unit"
"Total cost","","1",201971627.28415,"US$"
"Cost of energy","","1",241.68649,"US$/MWh"
"Capacity","GasCC","1",0.00000,"MW"
"Capacity","Diesel","1",0.00000,"MW"
"Capacity","Solar PV","1",360.97354,"MW"
"Capacity","Wind","1",307.87860,"MW"
"Capacity","All generation","1",668.85214,"MW"
"Total generation","GasCC","1",0.00000,"MWh"
"Total generation","Diesel","1",0.00000,"MWh"
"Total generation","Solar PV","1",446855.75916,"MWh"
"Total generation","Wind","1",466076.13616,"MWh"
"Total generation","Other renewables","1",0.00000,"MWh"
"Total generation","Hydro","1",0.00000,"MWh"
"Total generation","Nuclear","1",0.00000,"MWh"
"Total generation","Li-Ion","1",96713.78737,"MWh"
"Total generation","Vanadium","1",0.00000,"MWh"
"Total generation","PHS","1",0.00000,"MWh"
"Total generation","H2","1",122155.61917,"MWh"
"Total generation","All technologies","1",1131801.30186,"MWh"
"Imports","Grid","1",123044.77239,"MWh"
"Exports","Grid","1",0.00000,"MWh"
"Storage energy charging","Li-Ion","1",113780.92632,"MWh"
"Storage energy charging","Vanadium","1",0.00000,"MWh"
"Storage energy charging","PHS","1",0.00000,"MWh"
"Storage energy charging","H2","1",305389.04793,"MWh"
"Storage energy charging","All storage","1",419169.97425,"MWh"
"Total demand","","1",835676.10000,"MWh"
"CAPEX","GasCC","1",0.00000,"US$"
"CAPEX","Diesel","1",0.00000,"US$"
"CAPEX","Solar PV","1",31438344.56348,"US$"
"CAPEX","Wind","1",31946400.93827,"US$"
"CAPEX","All generation","1",63384745.50175,"US$"
"Power Capex","Li-Ion","1",2451023.76869,"US$"
"Power Capex","Vanadium","1",0.00000,"US$"
"Power Capex","PHS","1",0.00000,"US$"
"Power Capex","H2","1",38634795.89670,"US$"
"Total Power Capex","All storage","1",41085819.66539,"US$"
"Energy Capex","Li-Ion","1",11292279.98764,"US$"
"Energy Capex","Vanadium","1",0.00000,"US$"
"Energy Capex","PHS","1",0.00000,"US$"
"Energy Capex","H2","1",27109962.63918,"US$"
"Total Energy Capex","All storage","1",38402242.62682,"US$"
"Total Capex","Li-Ion","1",13743303.75633,"US$"
"Total Capex","Vanadium","1",0.00000,"US$"
"Total Capex","PHS","1",0.00000,"US$"
"Total Capex","H2","1",65744758.53588,"US$"
"Total Capex","All storage","1",79488062.29221,"US$"
"FOM","GasCC","1",0.00000,"US$"
"FOM","Diesel","1",0.00000,"US$"
"FOM","Solar PV","1",6497523.71870,"US$"
"FOM","Wind","1",9020843.09065,"US$"
"FOM","Li-Ion","1",592498.83308,"US$"
"FOM","Vanadium","1",0.00000,"US$"
"FOM","PHS","1",0.00000,"US$"
"FOM","H2","1",6702481.19997,"US$"
"FOM","All technologies","1",22813346.84240,"US$"
"VOM","GasCC","1",0.00000,"US$"
"VOM","Diesel","1",0.00000,"US$"
"VOM","Li-Ion","1",0.00000,"US$"
"VOM","Vanadium","1",0.00000,"US$"
"VOM","PHS","1",0.00000,"US$"
"VOM","H2","1",0.00000,"US$"
"VOM","Grid Imports","1",31515283.39113,"US$"
"VOM","Grid Exports","1",0.00000,"US$"
"VOM","Demand Exports","1",4770189.25666,"US$"
"VOM","All technologies","1",36285472.64779,"US$"
"OPEX","GasCC","1",0.00000,"US$"
"OPEX","Diesel","1",0.00000,"US$"
"OPEX","Solar PV","1",6497523.71870,"US$"
"OPEX","Wind","1",9020843.09065,"US$"
"OPEX","Li-Ion","1",592498.83308,"US$"
"OPEX","Vanadium","1",0.00000,"US$"
"OPEX","PHS","1",0.00000,"US$"
"OPEX","H2","1",6702481.19997,"US$"
"OPEX","All technologies","1",59098819.49019,"US$"
"Average added storage cost","All storage","1",396.50604,"US$/MWh"
"Average storage cost","All storage","1",394838.31553,"US$/MW"
"Charge power capacity","Li-Ion","1",74.99985,"MW"
"Charge power capacity","Vanadium","1",0.00000,"MW"
"Charge power capacity","PHS","1",0.00000,"MW"
"Charge power capacity","H2","1",142.18804,"MW"
"Charge power capacity","All storage","1",217.18789,"MW"
"Discharge power capacity","Li-Ion","1",74.99985,"MW"
"Discharge power capacity","Vanadium","1",0.00000,"MW"
"Discharge power capacity","PHS","1",0.00000,"MW"
"Discharge power capacity","H2","1",147.40000,"MW"
"Discharge power capacity","All storage","1",222.39985,"MW"
"Average power capacity","Li-Ion","1",74.99985,"MW"
"Average power capacity","Vanadium","1",0.00000,"MW"
"Average power capacity","PHS","1",0.00000,"MW"
"Average power capacity","H2","1",144.79402,"MW"
"Average power capacity","All storage","1",219.79387,"MW"
"Energy capacity","Li-Ion","1",446.37133,"MWh"
"Energy capacity","Vanadium","1",0.00000,"MWh"
"Energy capacity","PHS","1",0.00000,"MWh"
"Energy capacity","H2","1",17898.53206,"MWh"
"Energy capacity","All storage","1",18344.90339,"MWh"
"Discharge duration","Li-Ion","1",5.48713,"h"
"Discharge duration","Vanadium","1",0.00000,"h"
"Discharge duration","PHS","1",0.00000,"h"
"Discharge duration","H2","1",76.79800,"h"
"Equivalent number of cycles","Li-Ion","1",216.66662,"-"
"Equivalent number of cycles","Vanadium","1",0.00000,"-"
"Equivalent number of cycles","PHS","1",0.00000,"-"
"Equivalent number of cycles","H2","1",6.82490,"-"
"Renewables footprint","Solar and Wind","1",12081.65248,"acres"
