Metric,Technology,Scenario,Optimal Value,Unit
Total cost,,1,7745827.49,US$
Cost of energy,,1,271.31574,US$/MWh
Capacity,GasCC,1,0,MW
Capacity,Diesel,1,0,MW
Capacity,Solar PV,1,15.9526,MW
Capacity,Wind,1,15.95581,MW
Capacity,All generation,1,31.90841,MW
Total generation,GasCC,1,0,MWh
Total generation,Diesel,1,0,MWh
Total generation,Solar PV,1,14043.81134,MWh
Total generation,Wind,1,20239.00808,MWh
Total generation,Other renewables,1,0,MWh
Total generation,Hydro,1,0,MWh
Total generation,Nuclear,1,0,MWh
Total generation,Li-Ion,1,4150.566,MWh
Total generation,Vanadium,1,0,MWh
Total generation,PHS,1,0,MWh
Total generation,H2,1,3334.1598,MWh
Total generation,All technologies,1,41767.54522,MWh
Imports,Grid,1,0,MWh
Exports,Grid,1,0,MWh
Storage energy charging,Li-Ion,1,4883.01882,MWh
Storage energy charging,Vanadium,1,0,MWh
Storage energy charging,PHS,1,0,MWh
Storage energy charging,H2,1,8335.39951,MWh
Storage energy charging,All storage,1,13218.41833,MWh
Total demand,,1,28549.12689,MWh
CAPEX,GasCC,1,0,US$
CAPEX,Diesel,1,0,US$
CAPEX,Solar PV,1,1389363.205,US$
CAPEX,Wind,1,1655622.619,US$
CAPEX,All generation,1,3044985.824,US$
Power Capex,Li-Ion,1,189921.5178,US$
Power Capex,Vanadium,1,0,US$
Power Capex,PHS,1,0,US$
Power Capex,H2,1,1121018.095,US$
Total Power Capex,All storage,1,1310939.613,US$
Energy Capex,Li-Ion,1,568817.3124,US$
Energy Capex,Vanadium,1,0,US$
Energy Capex,PHS,1,0,US$
Energy Capex,H2,1,1826044.293,US$
Total Energy Capex,All storage,1,2394861.605,US$
Total Capex,Li-Ion,1,758738.8301,US$
Total Capex,Vanadium,1,0,US$
Total Capex,PHS,1,0,US$
Total Capex,H2,1,2947062.388,US$
Total Capex,All storage,1,3705801.218,US$
FOM,GasCC,1,0,US$
FOM,Diesel,1,0,US$
FOM,Solar PV,1,287146.8108,US$
FOM,Wind,1,467505.3034,US$
FOM,Li-Ion,1,45910.72477,US$
FOM,Vanadium,1,0,US$
FOM,PHS,1,0,US$
FOM,H2,1,194477.6085,US$
FOM,All technologies,1,995040.4475,US$
VOM,GasCC,1,0,US$
VOM,Diesel,1,0,US$
VOM,Li-Ion,1,0,US$
VOM,Vanadium,1,0,US$
VOM,PHS,1,0,US$
VOM,H2,1,0,US$
VOM,Grid Imports,1,0,US$
VOM,Grid Exports,1,0,US$
VOM,Demand Exports,1,0,US$
VOM,All technologies,1,0,US$
OPEX,GasCC,1,0,US$
OPEX,Diesel,1,0,US$
OPEX,Solar PV,1,287146.8108,US$
OPEX,Wind,1,467505.3034,US$
OPEX,Li-Ion,1,45910.72477,US$
OPEX,Vanadium,1,0,US$
OPEX,PHS,1,0,US$
OPEX,H2,1,194477.6085,US$
OPEX,All technologies,1,995040.4475,US$
Average added storage cost,All storage,1,527.23235,US$/MWh
Average storage cost,All storage,1,368790.0998,US$/MW
Charge power capacity,Li-Ion,1,5.81148,MW
Charge power capacity,Vanadium,1,0,MW
Charge power capacity,PHS,1,0,MW
Charge power capacity,H2,1,6.77777,MW
Charge power capacity,All storage,1,12.58925,MW
Discharge power capacity,Li-Ion,1,5.81148,MW
Discharge power capacity,Vanadium,1,0,MW
Discharge power capacity,PHS,1,0,MW
Discharge power capacity,H2,1,3,MW
Discharge power capacity,All storage,1,8.81148,MW
Average power capacity,Li-Ion,1,5.81148,MW
Average power capacity,Vanadium,1,0,MW
Average power capacity,PHS,1,0,MW
Average power capacity,H2,1,4.88888,MW
Average power capacity,All storage,1,10.70037,MW
Energy capacity,Li-Ion,1,22.48472,MWh
Energy capacity,Vanadium,1,0,MWh
Energy capacity,PHS,1,0,MWh
Energy capacity,H2,1,1205.59046,MWh
Energy capacity,All storage,1,1228.07518,MWh
Discharge duration,Li-Ion,1,3.56706,h
Discharge duration,Vanadium,1,0,h
Discharge duration,PHS,1,0,h
Discharge duration,H2,1,254.16079,h
Equivalent number of cycles,Li-Ion,1,184.59415,-
Equivalent number of cycles,Vanadium,1,0,-
Equivalent number of cycles,PHS,1,0,-
Equivalent number of cycles,H2,1,2.76558,-
Renewables footprint,Solar and Wind,1,610.29136,acres
